Gen,Best,Worst,Avg,Timestamp
332,6.70209,10.43737,7.88393,2017-12-04 20:56:05
333,6.70209,10.46588,7.96424,2017-12-04 20:56:10
334,6.70209,10.70119,7.96618,2017-12-04 20:56:14
335,6.70209,10.60447,7.95300,2017-12-04 20:56:18
336,6.70209,11.06458,7.86064,2017-12-04 20:56:23
337,6.70209,10.37473,7.80286,2017-12-04 20:56:27
338,6.70209,10.77321,7.79442,2017-12-04 20:56:32
339,6.70209,11.06744,7.83522,2017-12-04 20:56:36
340,6.70209,10.52617,7.84418,2017-12-04 20:56:41
341,6.70209,10.53863,7.82084,2017-12-04 20:56:45
342,6.70209,10.91485,7.83955,2017-12-04 20:56:50
343,6.70209,10.75692,7.78203,2017-12-04 20:56:55
344,6.66594,10.77618,7.77879,2017-12-04 20:57:00
345,6.66594,9.65631,7.75706,2017-12-04 20:57:03
346,6.66594,9.37561,7.83557,2017-12-04 20:57:07
347,6.66594,9.57698,7.79588,2017-12-04 20:57:11
348,6.66594,10.68089,7.82050,2017-12-04 20:57:15
349,6.66594,10.57444,7.82635,2017-12-04 20:57:19
350,6.66594,10.21655,7.82296,2017-12-04 20:57:23
351,6.66594,10.21675,7.86965,2017-12-04 20:57:27
352,6.66594,11.16266,7.89906,2017-12-04 20:57:31
353,6.66594,10.81245,7.94243,2017-12-04 20:57:36
354,6.66594,11.29169,7.92404,2017-12-04 20:57:40
355,6.66594,10.91045,7.92377,2017-12-04 20:57:44
356,6.66594,10.78518,7.93423,2017-12-04 20:57:48
357,6.66594,10.65370,7.92386,2017-12-04 20:57:53
358,6.66594,10.66864,7.94566,2017-12-04 20:57:57
359,6.66594,10.61401,7.92901,2017-12-04 20:58:01
360,6.66594,11.41577,7.88539,2017-12-04 20:58:06
361,6.66594,10.10714,7.84704,2017-12-04 20:58:10
362,6.66594,10.74925,7.83009,2017-12-04 20:58:15
363,6.66594,10.52187,7.77766,2017-12-04 20:58:19
364,6.66594,11.53698,7.79247,2017-12-04 20:58:24
365,6.66594,10.39516,7.80284,2017-12-04 20:58:28
366,6.66594,11.19486,7.77178,2017-12-04 20:58:33
367,6.66594,11.38826,7.75629,2017-12-04 20:58:38
368,6.66594,11.23985,7.73398,2017-12-04 20:58:42
369,6.53760,10.68462,7.71018,2017-12-04 20:58:47
370,6.53760,10.57538,7.64430,2017-12-04 20:58:51
371,6.53760,9.95531,7.71100,2017-12-04 20:58:55
372,6.53760,10.63117,7.72879,2017-12-04 20:58:59
373,6.53760,10.69203,7.80630,2017-12-04 20:59:03
374,6.53760,10.11555,7.81669,2017-12-04 20:59:07
375,6.53760,10.67422,7.81884,2017-12-04 20:59:11
376,6.53760,10.26915,7.89039,2017-12-04 20:59:15
377,6.53760,11.02413,7.93607,2017-12-04 20:59:19
378,6.53760,10.05566,7.88296,2017-12-04 20:59:23
379,6.53760,10.40087,7.88140,2017-12-04 20:59:27
380,6.53760,10.69920,7.95445,2017-12-04 20:59:31
381,6.53760,10.70720,7.91534,2017-12-04 20:59:36
382,6.53760,10.65241,7.90586,2017-12-04 20:59:40
383,6.53760,11.38577,7.94315,2017-12-04 20:59:44
384,6.53760,10.30747,7.96607,2017-12-04 20:59:49
385,6.53760,10.76233,7.87023,2017-12-04 20:59:53
386,6.53760,10.80048,7.79159,2017-12-04 20:59:57
387,6.53760,10.51573,7.76928,2017-12-04 21:00:02
388,6.53760,10.72059,7.79214,2017-12-04 21:00:06
389,6.53760,11.25580,7.84385,2017-12-04 21:00:11
